tract_geoid,tract_name,county_geoid,county_name,county_full_name,acs_unemp_total,acs_pov_total,school_total,broadband_total,health_ins_total,white_alone_total,acs_unemp_rate,acs_pov_rate,broadband_rate,health_ins_pct,white_alone_pct,school_age,depend_ratio,acs_unemp_score,acs_pov_score,acs_school_score,acs_broadband_score,acs_health_score,depend_score,white_alone_score
37183052404,"Census Tract 524.04, Wake County, North Carolina",37183,Wake,Wake County,143,1402,607,1481,400,3387,0.04,0.3,0.93,0.09,0.73,0.13,0.23,0.048944174049608914,1.249069263972263,-0.8709927114699085,-1.6370281482849942,-0.36080510927145876,-1.4412591811021305,-0.19363191948046587
37183052705,"Census Tract 527.05, Wake County, North Carolina",37183,Wake,Wake County,150,598,613,1460,470,2421,0.04,0.13,0.76,0.1,0.51,0.13,0.29,0.048944174049608914,-0.28923297653484914,-0.8709927114699085,-0.6771496876986469,-0.1957775587711769,-0.9313359215084531,0.70675184476717
37183053203,"Census Tract 532.03, Wake County, North Carolina",37183,Wake,Wake County,229,313,2428,2361,547,6591,0.04,0.04,0.89,0.06,0.74,0.29,0.62,0.048944174049608914,-1.103628280332732,1.973197342163116,-1.4111743928529124,-0.8558877607723039,1.8732420062567745,-0.23455845421899482
37127010601,"Census Tract 106.01, Nash County, North Carolina",37127,Nash,Nash County,73,454,498,816,365,1298,0.04,0.18,0.85,0.15,0.52,0.21,0.49,0.048944174049608914,0.16320885890841905,0.5511023153466037,-1.1853206374208305,0.6293601937302316,0.7684082771371394,0.6658253100286411
37063002023,"Census Tract 20.23, Durham County, North Carolina",37063,Durham,Durham County,47,110,426,1189,160,2053,0.02,0.04,0.88,0.05,0.63,0.13,0.25,-0.7711509560182648,-1.103628280332732,-0.8709927114699085,-1.354710953994892,-1.0209153112725855,-1.2712847612375715,0.21563342790482312
37129012010,"Census Tract 120.10, New Hanover County, North Carolina",37129,New Hanover,New Hanover County,100,425,1161,1828,352,4788,0.02,0.08,0.86,0.07,0.89,0.22,0.47,-0.7711509560182648,-0.7416748119781175,0.7288641936986678,-1.241784076278851,-0.690860210272022,0.59843385727258,-0.8484564752969286
37179020313,"Census Tract 203.13, Union County, North Carolina",37179,Union,Union County,57,337,452,567,422,2130,0.03,0.14,0.66,0.18,0.91,0.2,0.42,-0.36110339098432803,-0.1987446094461954,0.37334043699453995,-0.11251529911844281,1.1244428452310766,0.17349780761118205,-0.9303095447739864
37179020501,"Census Tract 205.01, Union County, North Carolina",37179,Union,Union County,240,981,1213,1135,941,3517,0.06,0.17,0.6,0.17,0.62,0.22,0.48,0.8690393041174824,0.07272049181976556,0.7288641936986678,0.22626533402968002,0.9594152947307952,0.6834210672048597,0.25655996264335207
37181960500,"Census Tract 9605, Vance County, North Carolina",37181,Vance,Vance County,143,1365,644,695,515,927,0.04,0.32,0.39,0.12,0.2,0.15,0.43,0.048944174049608914,1.4300459981495703,-0.5154689547657806,1.4119975500481088,0.1342775422293864,0.25848501754346176,1.9754744216615663
37133000403,"Census Tract 4.03, Onslow County, North Carolina",37133,Onslow,Onslow County,37,222,71,525,202,1362,0.03,0.16,0.72,0.15,0.96,0.05,0.2,-0.36110339098432803,-0.017767875268888178,-2.293087738286421,-0.451295932266565,0.6293601937302316,-1.6962208108989694,-1.1349422184666307
37133000800,"Census Tract 8, Onslow County, North Carolina",37133,Onslow,Onslow County,188,79,33,505,0,1389,0.18,0.05,0.88,0,0.88,0.03,0.49,5.789610084524724,-1.0131399132440784,-2.6486114949905493,-1.354710953994892,-1.846053063773994,0.7684082771371394,-0.8075299405583997
37133002500,"Census Tract 25, Onslow County, North Carolina",37133,Onslow,Onslow County,263,931,591,830,450,2809,0.1,0.27,0.69,0.14,0.83,0.19,0.42,2.5092295642532303,0.9776041627063022,0.19557855864247572,-0.2819056156925036,0.4643326432299501,0.17349780761118205,-0.6028972668657548
37133990100,"Census Tract 9901, Onslow County, North Carolina",37133,Onslow,Onslow County,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.5912460860861384,-1.4655817486873468,-3.181897130046741,3.614071665510905,-1.846053063773994,-3.395965009544562,2.794005116432144
37135011601,"Census Tract 116.01, Orange County, North Carolina",37135,Orange,Orange County,48,0,0,0,53,1805,0.02,0,0,0.02,0.78,0,0.01,-0.7711509560182648,-1.4655817486873468,-3.181897130046741,3.614071665510905,-1.5159979627734306,-3.3109777996122824,-0.39826459317311064
37139960200,"Census Tract 9602, Pasquotank County, North Carolina",37139,Pasquotank,Pasquotank County,227,694,595,840,680,2079,0.06,0.22,0.65,0.15,0.46,0.14,0.29,0.8690393041174824,0.5251623272630338,-0.6932308331178443,-0.05605186026042234,0.6293601937302316,-0.9313359215084531,0.9113845184598145
37147000100,"Census Tract 1, Pitt County, North Carolina",37147,Pitt,Pitt County,282,3866,340,1231,472,4266,0.05,0.64,0.49,0.08,0.69,0.06,0.1,0.45899173908354585,4.325673744986488,-2.115325859934357,0.8473631614679046,-0.5258326597717404,-2.5460929102217658,-0.029925780526350098
37149920200,"Census Tract 9202, Polk County, North Carolina",37149,Polk,Polk County,120,289,999,1007,471,4281,0.03,0.06,0.52,0.1,0.87,0.21,0.39,-0.36110339098432803,-0.9226515461554248,0.5511023153466037,0.6779728448938431,-0.1957775587711769,-0.08146382218565658,-0.7666034058198706
37129010100,"Census Tract 101, New Hanover County, North Carolina",37129,New Hanover,New Hanover County,113,863,439,622,390,943,0.07,0.38,0.64,0.17,0.42,0.2,0.56,1.2790868691514197,1.9729762006814924,0.37334043699453995,4.1157859759813554e-4,0.9594152947307952,1.3633187466630974,1.0750906574139303
37129011606,"Census Tract 116.06, New Hanover County, North Carolina",37129,New Hanover,New Hanover County,53,641,668,1375,922,4278,0.01,0.13,0.74,0.18,0.84,0.14,0.31,-1.1811985210522016,-0.28923297653484914,-0.6932308331178443,-0.564222809982606,1.1244428452310766,-0.7613615016438937,-0.6438238016042839
37119005843,"Census Tract 58.43, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,85,186,655,1137,49,2346,0.03,0.06,0.9,0.02,0.73,0.21,0.46,-0.36110339098432803,-0.9226515461554248,0.5511023153466037,-1.4676378317109329,-1.5159979627734306,0.5134466473403009,-0.19363191948046587
37119005915,"Census Tract 59.15, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,127,112,201,966,244,855,0.06,0.05,0.79,0.11,0.38,0.09,0.15,0.8690393041174824,-1.0131399132440784,-1.5820402248781649,-0.8465400042727084,-0.03075000827089525,-2.121156860560368,1.238796796368046
37119006203,"Census Tract 62.03, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,133,501,823,1855,453,4433,0.03,0.1,0.79,0.09,0.88,0.16,0.31,-0.36110339098432803,-0.5606980778008102,-0.3377070764137164,-0.8465400042727084,-0.36080510927145876,-0.7613615016438937,-0.8075299405583997
37087920900,"Census Tract 9209, Haywood County, North Carolina",37087,Haywood,Haywood County,59,432,232,475,247,1612,0.04,0.24,0.53,0.13,0.87,0.13,0.4,0.048944174049608914,0.706139061440341,-0.8709927114699085,0.6215094060358227,0.29930509272966827,0.0035233877466231164,-0.7666034058198706
37021003201,"Census Tract 32.01, Buncombe County, North Carolina",37021,Buncombe,Buncombe County,31,69,242,589,169,1784,0.02,0.04,0.72,0.09,0.99,0.14,0.37,-0.7711509560182648,-1.103628280332732,-0.6932308331178443,-0.451295932266565,-0.36080510927145876,-0.251438242050216,-1.2577218226822175
