tract_geoid,tract_name,county_geoid,county_name,county_full_name,school_total,school_age,acs_pov_score
37119005522,"Census Tract 55.22, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,558,0.12,-1.0487545898219728
37119005609,"Census Tract 56.09, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,220,0.06,-2.115325859934357
37119005713,"Census Tract 57.13, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,853,0.2,0.37334043699453995
37119005831,"Census Tract 58.31, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,477,0.1,-1.4042783465261006
37063001503,"Census Tract 15.03, Durham County, North Carolina",37063,Durham,Durham County,0,0,-3.181897130046741
37063001709,"Census Tract 17.09, Durham County, North Carolina",37063,Durham,Durham County,1915,0.28,1.7954354638110526
37063002021,"Census Tract 20.21, Durham County, North Carolina",37063,Durham,Durham County,489,0.12,-1.0487545898219728
37115010100,"Census Tract 101, Madison County, North Carolina",37115,Madison,Madison County,494,0.18,0.017816680290411512
37115010500,"Census Tract 105, Madison County, North Carolina",37115,Madison,Madison County,505,0.12,-1.0487545898219728
37117970400,"Census Tract 9704, Martin County, North Carolina",37117,Martin,Martin County,300,0.14,-0.6932308331178443
37119000300,"Census Tract 3, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,8,0.01,-3.004135251694677
37119000800,"Census Tract 8, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,600,0.21,0.5511023153466037
37067003003,"Census Tract 30.03, Forsyth County, North Carolina",37067,Forsyth,Forsyth County,691,0.22,0.7288641936986678
37067003202,"Census Tract 32.02, Forsyth County, North Carolina",37067,Forsyth,Forsyth County,852,0.22,0.7288641936986678
37189920800,"Census Tract 9208, Watauga County, North Carolina",37189,Watauga,Watauga County,186,0.08,-1.759802103230229
37191000601,"Census Tract 6.01, Wayne County, North Carolina",37191,Wayne,Wayne County,1004,0.23,0.9066260720507321
37191001400,"Census Tract 14, Wayne County, North Carolina",37191,Wayne,Wayne County,1338,0.21,0.5511023153466037
37193960400,"Census Tract 9604, Wilkes County, North Carolina",37193,Wilkes,Wilkes County,1388,0.18,0.017816680290411512
37159052000,"Census Tract 520, Rowan County, North Carolina",37159,Rowan,Rowan County,240,0.11,-1.2265164681740368
37161960200,"Census Tract 9602, Rutherford County, North Carolina",37161,Rutherford,Rutherford County,1055,0.15,-0.5154689547657806
37083930300,"Census Tract 9303, Halifax County, North Carolina",37083,Halifax,Halifax County,910,0.21,0.5511023153466037
37053110102,"Census Tract 1101.02, Currituck County, North Carolina",37053,Currituck,Currituck County,257,0.18,0.017816680290411512
37055970601,"Census Tract 9706.01, Dare County, North Carolina",37055,Dare,Dare County,1310,0.19,0.19557855864247572
37057060302,"Census Tract 603.02, Davidson County, North Carolina",37057,Davidson,Davidson County,694,0.18,0.017816680290411512
37057061000,"Census Tract 610, Davidson County, North Carolina",37057,Davidson,Davidson County,944,0.2,0.37334043699453995
37061090400,"Census Tract 904, Duplin County, North Carolina",37061,Duplin,Duplin County,891,0.17,-0.1599451980616522
37179020701,"Census Tract 207.01, Union County, North Carolina",37179,Union,Union County,1058,0.19,0.19557855864247572
