name,namelsad,geoid,county_crf_total,hospital_crf_total,hhs_uninsured_total,rhc_testing_total,prov_relief_total,hhs_awards_total,county_crf_per_capita,hospital_crf_per_capita,hhs_uninsured_per_capita,rhc_testing_per_capita,prov_relief_per_capita,hhs_awards_per_capita,county_crf_score,hospital_crf_score,hhs_uninsured_score,rhc_testing_score,prov_relief_score,hhs_awards_score
"Lenoir County, North Carolina",Lenoir County,37107,2246164,756983,185402,0,2104175,1418322,39.25007426564384,13.22772467541545,3.2397644468520106,0,36.76892026490992,24.78414035332972,0,1,1,0,0,1
"Lincoln County, North Carolina",Lincoln County,37109,3322292,100475,473433,0,2831337,0,40.793850763129136,1.2337152048722388,5.813202195454378,0,34.765498950160236,0,0,0,1,0,0,0
"Moore County, North Carolina",Moore County,37125,3849224,444288,198236,49461,7024706,0,40.25163914712064,4.645954679019963,2.0729694967007917,0.5172175804410796,73.45790502880925,0,0,0,0,0,1,0
"Nash County, North Carolina",Nash County,37127,3614390,2358928,867701,0,4239326,1549368,38.449730327755496,25.094177845387915,9.230567109560333,0,45.09777347531462,16.482112273012564,0,1,1,0,1,1
"New Hanover County, North Carolina",New Hanover County,37129,8615592,943024,1249724,0,14245428,1680302,38.42284073121022,4.205591555137336,5.573377454500047,0,63.5301452519946,7.4936204182294155,0,0,1,0,1,0
"Onslow County, North Carolina",Onslow County,37133,7312086,1515144,191395,0,5250530,302310,37.70826973059945,7.813564916044391,0.9870198853087999,0,27.076869920376254,1.5590061471182806,0,0,0,0,0,0
"Orange County, North Carolina",Orange County,37135,5547368,3000000,162752,0,6292870,27698287,38.80960976087535,20.988120723670402,1.1386195413396019,0,44.02517175278792,193.77833046495684,0,1,0,0,1,1
"Pitt County, North Carolina",Pitt County,37147,6698563,9980659,251646,0,8439187,162873,37.76561689556412,56.2696423336265,1.4187470401190718,0,47.57902600184922,0.9182565455652527,0,1,0,0,1,0
"Randolph County, North Carolina",Randolph County,37151,5375791,928689,154488,49461,5280364,1240181,37.60398858405966,6.496236656920214,1.080653058940388,0.3459827361882511,36.93647085157878,8.675142349501252,0,0,0,0,0,0
"Richmond County, North Carolina",Richmond County,37153,1849421,1140799,0,0,598911,0,40.92635375865808,25.24505963840758,0,0,13.25346876452234,0,0,1,0,0,0,0
"Robeson County, North Carolina",Robeson County,37155,4910475,2025036,1253921,296769,3593282,3016280,36.798571664093764,15.175402047331424,9.396749149443204,2.2239549766939946,26.92766894980591,22.603678002428023,0,1,1,1,0,1
"Rockingham County, North Carolina",Rockingham County,37157,3497080,613984,413275,0,1809655,174004,38.31576640736277,6.72711734414375,4.528048646871919,0,19.827489865235016,1.9064752930864468,0,0,1,0,0,0
"Rowan County, North Carolina",Rowan County,37159,5319455,1575106,862923,0,5481207,453465,38.103613767415204,11.282590165108699,6.181175459331686,0,39.26225421725583,3.248200279359622,0,1,1,0,1,0
"Rutherford County, North Carolina",Rutherford County,37161,2641479,704816,174980,0,3215950,230248,39.70238381530692,10.593639151085192,2.630012625503517,0,48.33689051884807,3.460710635483677,0,0,1,0,1,0
"Sampson County, North Carolina",Sampson County,37163,2516676,641951,590067,0,1091659,2021611,39.59465710105253,10.099762432938437,9.28347571624109,0,17.17498151382137,31.80584005915577,0,0,1,0,0,1
"Stanly County, North Carolina",Stanly County,37167,2490810,745649,398061,0,1776397,3957711,40.75678240664987,12.200952318617665,6.513417547534116,0,29.066940471904964,64.75948227901954,0,1,1,0,0,1
"Stokes County, North Carolina",Stokes County,37169,1876608,517702,12633,98923,1049809,0,40.880252695784776,11.27768216969829,0.27519878008931487,2.1549504411284173,22.86916457902189,0,0,1,0,1,0,0
"Surry County, North Carolina",Surry County,37171,2811094,1672943,261723,0,2899923,0,38.989361849678914,23.203414749164345,3.6300503474389383,0,40.221403902966756,0,0,1,1,0,1,0
"Union County, North Carolina",Union County,37179,8807755,190517,1338917,0,4473984,500920,38.85305742542811,0.8404148323290427,5.906274537482245,0,19.735784802420884,2.2096747156960483,0,0,1,0,0,0
"Vance County, North Carolina",Vance County,37181,1838932,927971,101678,49461,1971087,440001,41.34103682388382,20.861719347151656,2.2858234791601095,1.1119329166854008,44.312013848298186,9.891664043882919,0,1,0,0,1,0
"Wayne County, North Carolina",Wayne County,37191,4643102,1783693,695998,0,5232646,606377,37.44376703601555,14.384388961468364,5.612796567797294,0,42.198077450363705,4.8900582248673405,0,1,1,0,1,0
"Wilkes County, North Carolina",Wilkes County,37193,2690822,589554,65735,0,1735958,908021,39.305024832018695,8.611656441717791,0.960195734735612,0,25.35725971370143,13.26352614665498,0,0,0,0,0,1
"Wilson County, North Carolina",Wilson County,37195,3168519,1041108,482585,0,5309777,1630887,38.955923576276184,12.800088521687814,5.933227599095112,0,65.28200304908036,20.051231926822073,0,1,1,0,1,1
