tract_geoid,tract_name,county_geoid,county_name,county_full_name,acs_unemp_total,acs_unemp_rate,acs_unemp_score
37119005522,"Census Tract 55.22, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,36,0.01,-1.1811985210522016
37119005609,"Census Tract 56.09, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,127,0.04,0.048944174049608914
37119005713,"Census Tract 57.13, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,71,0.02,-0.7711509560182648
37119005831,"Census Tract 58.31, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,100,0.02,-0.7711509560182648
37063001503,"Census Tract 15.03, Durham County, North Carolina",37063,Durham,Durham County,0,0,-1.5912460860861384
37063001709,"Census Tract 17.09, Durham County, North Carolina",37063,Durham,Durham County,287,0.06,0.8690393041174824
37063002021,"Census Tract 20.21, Durham County, North Carolina",37063,Durham,Durham County,198,0.06,0.8690393041174824
37115010100,"Census Tract 101, Madison County, North Carolina",37115,Madison,Madison County,51,0.02,-0.7711509560182648
37115010500,"Census Tract 105, Madison County, North Carolina",37115,Madison,Madison County,53,0.01,-1.1811985210522016
37117970400,"Census Tract 9704, Martin County, North Carolina",37117,Martin,Martin County,128,0.07,1.2790868691514197
37119000300,"Census Tract 3, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,19,0.02,-0.7711509560182648
37119000800,"Census Tract 8, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,267,0.12,3.329324694321103
37067003003,"Census Tract 30.03, Forsyth County, North Carolina",37067,Forsyth,Forsyth County,48,0.02,-0.7711509560182648
37067003202,"Census Tract 32.02, Forsyth County, North Carolina",37067,Forsyth,Forsyth County,109,0.03,-0.36110339098432803
37189920800,"Census Tract 9208, Watauga County, North Carolina",37189,Watauga,Watauga County,17,0.01,-1.1811985210522016
37191000601,"Census Tract 6.01, Wayne County, North Carolina",37191,Wayne,Wayne County,261,0.08,1.6891344341853562
37191001400,"Census Tract 14, Wayne County, North Carolina",37191,Wayne,Wayne County,562,0.11,2.919277129287167
37193960400,"Census Tract 9604, Wilkes County, North Carolina",37193,Wilkes,Wilkes County,219,0.04,0.048944174049608914
37159052000,"Census Tract 520, Rowan County, North Carolina",37159,Rowan,Rowan County,125,0.07,1.2790868691514197
37161960200,"Census Tract 9602, Rutherford County, North Carolina",37161,Rutherford,Rutherford County,276,0.05,0.45899173908354585
37083930300,"Census Tract 9303, Halifax County, North Carolina",37083,Halifax,Halifax County,206,0.06,0.8690393041174824
37053110102,"Census Tract 1101.02, Currituck County, North Carolina",37053,Currituck,Currituck County,17,0.01,-1.1811985210522016
37055970601,"Census Tract 9706.01, Dare County, North Carolina",37055,Dare,Dare County,174,0.03,-0.36110339098432803
37057060302,"Census Tract 603.02, Davidson County, North Carolina",37057,Davidson,Davidson County,72,0.02,-0.7711509560182648
37057061000,"Census Tract 610, Davidson County, North Carolina",37057,Davidson,Davidson County,238,0.06,0.8690393041174824
37061090400,"Census Tract 904, Duplin County, North Carolina",37061,Duplin,Duplin County,87,0.02,-0.7711509560182648
37179020701,"Census Tract 207.01, Union County, North Carolina",37179,Union,Union County,276,0.06,0.8690393041174824
37063000200,"Census Tract 2, Durham County, North Carolina",37063,Durham,Durham County,79,0.03,-0.36110339098432803
37117970500,"Census Tract 9705, Martin County, North Carolina",37117,Martin,Martin County,243,0.05,0.45899173908354585
37119000700,"Census Tract 7, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,26,0.03,-0.36110339098432803
37119001605,"Census Tract 16.05, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,114,0.07,1.2790868691514197
37119001910,"Census Tract 19.10, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,355,0.08,1.6891344341853562
37119001919,"Census Tract 19.19, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,150,0.05,0.45899173908354585
37119002100,"Census Tract 21, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,100,0.04,0.048944174049608914
37119002600,"Census Tract 26, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,70,0.09,2.099181999219293
37119003008,"Census Tract 30.08, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,172,0.04,0.048944174049608914
37019020201,"Census Tract 202.01, Brunswick County, North Carolina",37019,Brunswick,Brunswick County,118,0.03,-0.36110339098432803
37019020309,"Census Tract 203.09, Brunswick County, North Carolina",37019,Brunswick,Brunswick County,19,0.01,-1.1811985210522016
37019020504,"Census Tract 205.04, Brunswick County, North Carolina",37019,Brunswick,Brunswick County,0,0,-1.5912460860861384
37019020510,"Census Tract 205.10, Brunswick County, North Carolina",37019,Brunswick,Brunswick County,20,0.01,-1.1811985210522016
37021000600,"Census Tract 6, Buncombe County, North Carolina",37021,Buncombe,Buncombe County,46,0.03,-0.36110339098432803
37021002000,"Census Tract 20, Buncombe County, North Carolina",37021,Buncombe,Buncombe County,130,0.03,-0.36110339098432803
37021002606,"Census Tract 26.06, Buncombe County, North Carolina",37021,Buncombe,Buncombe County,58,0.02,-0.7711509560182648
37023020201,"Census Tract 202.01, Burke County, North Carolina",37023,Burke,Burke County,482,0.09,2.099181999219293
37097061408,"Census Tract 614.08, Iredell County, North Carolina",37097,Iredell,Iredell County,119,0.04,0.048944174049608914
37099950700,"Census Tract 9507, Jackson County, North Carolina",37099,Jackson,Jackson County,48,0.02,-0.7711509560182648
37101041502,"Census Tract 415.02, Johnston County, North Carolina",37101,Johnston,Johnston County,136,0.02,-0.7711509560182648
37103920100,"Census Tract 9201, Jones County, North Carolina",37103,Jones,Jones County,113,0.04,0.048944174049608914
37105030101,"Census Tract 301.01, Lee County, North Carolina",37105,Lee,Lee County,224,0.06,0.8690393041174824
37109070600,"Census Tract 706, Lincoln County, North Carolina",37109,Lincoln,Lincoln County,101,0.03,-0.36110339098432803
37111970100,"Census Tract 9701, McDowell County, North Carolina",37111,McDowell,McDowell County,69,0.02,-0.7711509560182648
37111970400,"Census Tract 9704, McDowell County, North Carolina",37111,McDowell,McDowell County,105,0.04,0.048944174049608914
37113970200,"Census Tract 9702, Macon County, North Carolina",37113,Macon,Macon County,69,0.02,-0.7711509560182648
37115010200,"Census Tract 102, Madison County, North Carolina",37115,Madison,Madison County,63,0.03,-0.36110339098432803
37117970100,"Census Tract 9701, Martin County, North Carolina",37117,Martin,Martin County,187,0.05,0.45899173908354585
37135011400,"Census Tract 114, Orange County, North Carolina",37135,Orange,Orange County,32,0.01,-1.1811985210522016
37135011800,"Census Tract 118, Orange County, North Carolina",37135,Orange,Orange County,53,0.02,-0.7711509560182648
37139960100,"Census Tract 9601, Pasquotank County, North Carolina",37139,Pasquotank,Pasquotank County,62,0.05,0.45899173908354585
37085071303,"Census Tract 713.03, Harnett County, North Carolina",37085,Harnett,Harnett County,403,0.05,0.45899173908354585
37089930300,"Census Tract 9303, Henderson County, North Carolina",37089,Henderson,Henderson County,218,0.04,0.048944174049608914
37089930900,"Census Tract 9309, Henderson County, North Carolina",37089,Henderson,Henderson County,53,0.02,-0.7711509560182648
37091950100,"Census Tract 9501, Hertford County, North Carolina",37091,Hertford,Hertford County,534,0.09,2.099181999219293
37093970402,"Census Tract 9704.02, Hoke County, North Carolina",37093,Hoke,Hoke County,165,0.07,1.2790868691514197
37095920100,"Census Tract 9201, Hyde County, North Carolina",37095,Hyde,Hyde County,231,0.05,0.45899173908354585
37081010403,"Census Tract 104.03, Guilford County, North Carolina",37081,Guilford,Guilford County,39,0.03,-0.36110339098432803
37081010900,"Census Tract 109, Guilford County, North Carolina",37081,Guilford,Guilford County,86,0.05,0.45899173908354585
37081011500,"Census Tract 115, Guilford County, North Carolina",37081,Guilford,Guilford County,175,0.09,2.099181999219293
37081012604,"Census Tract 126.04, Guilford County, North Carolina",37081,Guilford,Guilford County,244,0.07,1.2790868691514197
37081012610,"Census Tract 126.10, Guilford County, North Carolina",37081,Guilford,Guilford County,189,0.06,0.8690393041174824
37081012707,"Census Tract 127.07, Guilford County, North Carolina",37081,Guilford,Guilford County,120,0.06,0.8690393041174824
37183053719,"Census Tract 537.19, Wake County, North Carolina",37183,Wake,Wake County,53,0.02,-0.7711509560182648
37183054110,"Census Tract 541.10, Wake County, North Carolina",37183,Wake,Wake County,158,0.02,-0.7711509560182648
37049960600,"Census Tract 9606, Craven County, North Carolina",37049,Craven,Craven County,79,0.02,-0.7711509560182648
37017950100,"Census Tract 9501, Bladen County, North Carolina",37017,Bladen,Bladen County,218,0.05,0.45899173908354585
37017950600,"Census Tract 9506, Bladen County, North Carolina",37017,Bladen,Bladen County,137,0.03,-0.36110339098432803
37077970400,"Census Tract 9704, Granville County, North Carolina",37077,Granville,Granville County,89,0.03,-0.36110339098432803
37079950300,"Census Tract 9503, Greene County, North Carolina",37079,Greene,Greene County,258,0.05,0.45899173908354585
37159051204,"Census Tract 512.04, Rowan County, North Carolina",37159,Rowan,Rowan County,9,0,-1.5912460860861384
37067003805,"Census Tract 38.05, Forsyth County, North Carolina",37067,Forsyth,Forsyth County,358,0.07,1.2790868691514197
37067004011,"Census Tract 40.11, Forsyth County, North Carolina",37067,Forsyth,Forsyth County,74,0.02,-0.7711509560182648
37035010303,"Census Tract 103.03, Catawba County, North Carolina",37035,Catawba,Catawba County,235,0.07,1.2790868691514197
37151031504,"Census Tract 315.04, Randolph County, North Carolina",37151,Randolph,Randolph County,125,0.03,-0.36110339098432803
37197050300,"Census Tract 503, Yadkin County, North Carolina",37197,Yadkin,Yadkin County,63,0.01,-1.1811985210522016
37129011605,"Census Tract 116.05, New Hanover County, North Carolina",37129,New Hanover,New Hanover County,249,0.05,0.45899173908354585
37071030102,"Census Tract 301.02, Gaston County, North Carolina",37071,Gaston,Gaston County,137,0.04,0.048944174049608914
37071030602,"Census Tract 306.02, Gaston County, North Carolina",37071,Gaston,Gaston County,64,0.03,-0.36110339098432803
37071031004,"Census Tract 310.04, Gaston County, North Carolina",37071,Gaston,Gaston County,214,0.1,2.5092295642532303
37071032702,"Census Tract 327.02, Gaston County, North Carolina",37071,Gaston,Gaston County,78,0.04,0.048944174049608914
37073970100,"Census Tract 9701, Gates County, North Carolina",37073,Gates,Gates County,203,0.06,0.8690393041174824
37075920300,"Census Tract 9203, Graham County, North Carolina",37075,Graham,Graham County,87,0.03,-0.36110339098432803
37081014412,"Census Tract 144.12, Guilford County, North Carolina",37081,Guilford,Guilford County,112,0.05,0.45899173908354585
37081015707,"Census Tract 157.07, Guilford County, North Carolina",37081,Guilford,Guilford County,99,0.02,-0.7711509560182648
37155961000,"Census Tract 9610, Robeson County, North Carolina",37155,Robeson,Robeson County,51,0.03,-0.36110339098432803
37157040400,"Census Tract 404, Rockingham County, North Carolina",37157,Rockingham,Rockingham County,241,0.05,0.45899173908354585
37157041200,"Census Tract 412, Rockingham County, North Carolina",37157,Rockingham,Rockingham County,174,0.04,0.048944174049608914
37159050300,"Census Tract 503, Rowan County, North Carolina",37159,Rowan,Rowan County,84,0.03,-0.36110339098432803
37025041902,"Census Tract 419.02, Cabarrus County, North Carolina",37025,Cabarrus,Cabarrus County,369,0.12,3.329324694321103
37025042101,"Census Tract 421.01, Cabarrus County, North Carolina",37025,Cabarrus,Cabarrus County,119,0.05,0.45899173908354585
37025042602,"Census Tract 426.02, Cabarrus County, North Carolina",37025,Cabarrus,Cabarrus County,114,0.04,0.048944174049608914
37027031403,"Census Tract 314.03, Caldwell County, North Carolina",37027,Caldwell,Caldwell County,107,0.05,0.45899173908354585
37031970304,"Census Tract 9703.04, Carteret County, North Carolina",37031,Carteret,Carteret County,36,0.02,-0.7711509560182648
37031970504,"Census Tract 9705.04, Carteret County, North Carolina",37031,Carteret,Carteret County,12,0.01,-1.1811985210522016
37031970902,"Census Tract 9709.02, Carteret County, North Carolina",37031,Carteret,Carteret County,18,0.02,-0.7711509560182648
37031990100,"Census Tract 9901, Carteret County, North Carolina",37031,Carteret,Carteret County,0,0,-1.5912460860861384
37119005710,"Census Tract 57.10, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,94,0.03,-0.36110339098432803
37133000103,"Census Tract 1.03, Onslow County, North Carolina",37133,Onslow,Onslow County,167,0.04,0.048944174049608914
37133000402,"Census Tract 4.02, Onslow County, North Carolina",37133,Onslow,Onslow County,368,0.06,0.8690393041174824
37133001700,"Census Tract 17, Onslow County, North Carolina",37133,Onslow,Onslow County,25,0.01,-1.1811985210522016
37133002202,"Census Tract 22.02, Onslow County, North Carolina",37133,Onslow,Onslow County,155,0.05,0.45899173908354585
37163970900,"Census Tract 9709, Sampson County, North Carolina",37163,Sampson,Sampson County,106,0.04,0.048944174049608914
37167931201,"Census Tract 9312.01, Stanly County, North Carolina",37167,Stanly,Stanly County,163,0.03,-0.36110339098432803
37169070503,"Census Tract 705.03, Stokes County, North Carolina",37169,Stokes,Stokes County,194,0.04,0.048944174049608914
37171930901,"Census Tract 9309.01, Surry County, North Carolina",37171,Surry,Surry County,74,0.02,-0.7711509560182648
37173960301,"Census Tract 9603.01, Swain County, North Carolina",37173,Swain,Swain County,88,0.03,-0.36110339098432803
37177960100,"Census Tract 9601, Tyrrell County, North Carolina",37177,Tyrrell,Tyrrell County,88,0.02,-0.7711509560182648
37119005308,"Census Tract 53.08, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,158,0.09,2.099181999219293
37119005621,"Census Tract 56.21, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,169,0.05,0.45899173908354585
37001021702,"Census Tract 217.02, Alamance County, North Carolina",37001,Alamance,Alamance County,116,0.02,-0.7711509560182648
37003040700,"Census Tract 407, Alexander County, North Carolina",37003,Alexander,Alexander County,172,0.03,-0.36110339098432803
37013930300,"Census Tract 9303, Beaufort County, North Carolina",37013,Beaufort,Beaufort County,236,0.08,1.6891344341853562
37037020105,"Census Tract 201.05, Chatham County, North Carolina",37037,Chatham,Chatham County,90,0.02,-0.7711509560182648
37037020600,"Census Tract 206, Chatham County, North Carolina",37037,Chatham,Chatham County,188,0.04,0.048944174049608914
37039930300,"Census Tract 9303, Cherokee County, North Carolina",37039,Cherokee,Cherokee County,86,0.04,0.048944174049608914
37063002018,"Census Tract 20.18, Durham County, North Carolina",37063,Durham,Durham County,185,0.02,-0.7711509560182648
37063002022,"Census Tract 20.22, Durham County, North Carolina",37063,Durham,Durham County,187,0.05,0.45899173908354585
37065021000,"Census Tract 210, Edgecombe County, North Carolina",37065,Edgecombe,Edgecombe County,110,0.04,0.048944174049608914
37065021300,"Census Tract 213, Edgecombe County, North Carolina",37065,Edgecombe,Edgecombe County,153,0.04,0.048944174049608914
