tract_geoid,tract_name,county_geoid,county_name,county_full_name,white_alone_total,white_alone_pct,white_alone_score
37019020504,"Census Tract 205.04, Brunswick County, North Carolina",37019,Brunswick,Brunswick County,1687,0.9,-0.8893830100354575
37019020510,"Census Tract 205.10, Brunswick County, North Carolina",37019,Brunswick,Brunswick County,1752,0.91,-0.9303095447739864
37021000600,"Census Tract 6, Buncombe County, North Carolina",37021,Buncombe,Buncombe County,1732,0.89,-0.8484564752969286
37021002000,"Census Tract 20, Buncombe County, North Carolina",37021,Buncombe,Buncombe County,4266,0.68,0.011000754212178393
37021002606,"Census Tract 26.06, Buncombe County, North Carolina",37021,Buncombe,Buncombe County,4096,0.96,-1.1349422184666307
37023020201,"Census Tract 202.01, Burke County, North Carolina",37023,Burke,Burke County,5141,0.78,-0.39826459317311064
37097061408,"Census Tract 614.08, Iredell County, North Carolina",37097,Iredell,Iredell County,3753,0.91,-0.9303095447739864
37099950700,"Census Tract 9507, Jackson County, North Carolina",37099,Jackson,Jackson County,2574,0.94,-1.0530891489895728
37101041502,"Census Tract 415.02, Johnston County, North Carolina",37101,Johnston,Johnston County,6640,0.84,-0.6438238016042839
37103920100,"Census Tract 9201, Jones County, North Carolina",37103,Jones,Jones County,2236,0.61,0.297486497381881
37105030101,"Census Tract 301.01, Lee County, North Carolina",37105,Lee,Lee County,3946,0.75,-0.27548498895752377
37109070600,"Census Tract 706, Lincoln County, North Carolina",37109,Lincoln,Lincoln County,3934,0.96,-1.1349422184666307
37111970100,"Census Tract 9701, McDowell County, North Carolina",37111,McDowell,McDowell County,5119,0.95,-1.0940156837281019
37111970400,"Census Tract 9704, McDowell County, North Carolina",37111,McDowell,McDowell County,2756,0.84,-0.6438238016042839
37113970200,"Census Tract 9702, Macon County, North Carolina",37113,Macon,Macon County,3633,0.96,-1.1349422184666307
37115010200,"Census Tract 102, Madison County, North Carolina",37115,Madison,Madison County,2057,0.98,-1.2167952879436885
37117970100,"Census Tract 9701, Martin County, North Carolina",37117,Martin,Martin County,2934,0.66,0.09285382368923628
37135011400,"Census Tract 114, Orange County, North Carolina",37135,Orange,Orange County,3299,0.83,-0.6028972668657548
37135011800,"Census Tract 118, Orange County, North Carolina",37135,Orange,Orange County,2340,0.79,-0.43919112791163956
37139960100,"Census Tract 9601, Pasquotank County, North Carolina",37139,Pasquotank,Pasquotank County,691,0.49,0.788604914244228
37085071303,"Census Tract 713.03, Harnett County, North Carolina",37085,Harnett,Harnett County,6994,0.64,0.17470689316629417
37089930300,"Census Tract 9303, Henderson County, North Carolina",37089,Henderson,Henderson County,6697,0.89,-0.8484564752969286
37089930900,"Census Tract 9309, Henderson County, North Carolina",37089,Henderson,Henderson County,2343,0.81,-0.5210441973886974
37091950100,"Census Tract 9501, Hertford County, North Carolina",37091,Hertford,Hertford County,2552,0.35,1.3615764005836326
37093970402,"Census Tract 9704.02, Hoke County, North Carolina",37093,Hoke,Hoke County,538,0.17,2.0982540258771527
37095920100,"Census Tract 9201, Hyde County, North Carolina",37095,Hyde,Hyde County,3578,0.66,0.09285382368923628
37081010403,"Census Tract 104.03, Guilford County, North Carolina",37081,Guilford,Guilford County,1318,0.83,-0.6028972668657548
37081010900,"Census Tract 109, Guilford County, North Carolina",37081,Guilford,Guilford County,886,0.48,0.8295314489827569
37081011500,"Census Tract 115, Guilford County, North Carolina",37081,Guilford,Guilford County,1072,0.46,0.9113845184598145
37081012604,"Census Tract 126.04, Guilford County, North Carolina",37081,Guilford,Guilford County,1237,0.27,1.6889886784918637
37081012610,"Census Tract 126.10, Guilford County, North Carolina",37081,Guilford,Guilford County,690,0.2,1.9754744216615663
37081012707,"Census Tract 127.07, Guilford County, North Carolina",37081,Guilford,Guilford County,373,0.13,2.2619601648312684
37183053719,"Census Tract 537.19, Wake County, North Carolina",37183,Wake,Wake County,3662,0.87,-0.7666034058198706
37183054110,"Census Tract 541.10, Wake County, North Carolina",37183,Wake,Wake County,6033,0.6,0.33841303212040996
37049960600,"Census Tract 9606, Craven County, North Carolina",37049,Craven,Craven County,2932,0.49,0.788604914244228
37017950100,"Census Tract 9501, Bladen County, North Carolina",37017,Bladen,Bladen County,3647,0.7,-0.07085231526487905
37017950600,"Census Tract 9506, Bladen County, North Carolina",37017,Bladen,Bladen County,2005,0.33,1.4434294700606904
37077970400,"Census Tract 9704, Granville County, North Carolina",37077,Granville,Granville County,1016,0.26,1.7299152132303928
37079950300,"Census Tract 9503, Greene County, North Carolina",37079,Greene,Greene County,3941,0.57,0.4611926363359968
37159051204,"Census Tract 512.04, Rowan County, North Carolina",37159,Rowan,Rowan County,2636,0.71,-0.111778850003408
